timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1695752683643,3340,HTTP Request,200,OK,ThreadGroup 1-14,text,true,,401855,119,21,21,https://www.shopify.com/,519,0,0
1695752682826,4958,HTTP Request,200,OK,ThreadGroup 1-20,text,true,,401842,119,24,24,https://www.shopify.com/,846,0,573
1695752686845,1101,HTTP Request,200,OK,ThreadGroup 1-23,text,true,,401848,119,25,25,https://www.shopify.com/,1031,0,0
1695752686746,1277,HTTP Request,200,OK,ThreadGroup 1-24,text,true,,401841,119,25,25,https://www.shopify.com/,304,0,0
1695752685799,2403,HTTP Request,200,OK,ThreadGroup 1-13,text,true,,401836,119,25,25,https://www.shopify.com/,919,0,0
1695752686421,1812,HTTP Request,200,OK,ThreadGroup 1-15,text,true,,401841,119,25,25,https://www.shopify.com/,384,0,0
1695752685525,2708,HTTP Request,200,OK,ThreadGroup 1-29,text,true,,401841,119,25,25,https://www.shopify.com/,1063,0,721
1695752682526,6362,HTTP Request,200,OK,ThreadGroup 1-19,text,true,,401843,119,26,26,https://www.shopify.com/,2193,0,1730
1695752687946,1179,HTTP Request,200,OK,ThreadGroup 1-23,text,true,,401850,119,27,27,https://www.shopify.com/,352,0,0
1695752685221,4051,HTTP Request,200,OK,ThreadGroup 1-12,text,true,,401849,119,26,26,https://www.shopify.com/,453,0,0
1695752685826,3555,HTTP Request,200,OK,ThreadGroup 1-30,text,true,,401841,119,26,26,https://www.shopify.com/,1055,0,704
1695752685226,4168,HTTP Request,200,OK,ThreadGroup 1-28,text,true,,401854,119,26,26,https://www.shopify.com/,1100,0,661
1695752688024,1438,HTTP Request,200,OK,ThreadGroup 1-24,text,true,,401841,119,27,27,https://www.shopify.com/,795,0,0
1695752686941,3011,HTTP Request,200,OK,ThreadGroup 1-25,text,true,,401841,119,27,27,https://www.shopify.com/,752,0,0
1695752684626,5396,HTTP Request,200,OK,ThreadGroup 1-26,text,true,,401849,119,27,27,https://www.shopify.com/,968,0,547
1695752686764,3506,HTTP Request,200,OK,ThreadGroup 1-21,text,true,,401848,119,28,28,https://www.shopify.com/,1222,0,0
1695752686983,3476,HTTP Request,200,OK,ThreadGroup 1-14,text,true,,401848,119,29,29,https://www.shopify.com/,1054,0,0
1695752686125,4347,HTTP Request,200,OK,ThreadGroup 1-31,text,true,,401849,119,28,28,https://www.shopify.com/,907,0,623
1695752686719,3753,HTTP Request,200,OK,ThreadGroup 1-18,text,true,,401849,119,28,28,https://www.shopify.com/,391,0,0
1695752688234,2247,HTTP Request,200,OK,ThreadGroup 1-29,text,true,,401841,119,28,28,https://www.shopify.com/,755,0,0
1695752687784,2711,HTTP Request,200,OK,ThreadGroup 1-20,text,true,,401841,119,28,28,https://www.shopify.com/,431,0,0
1695752684925,5575,HTTP Request,200,OK,ThreadGroup 1-27,text,true,,401843,119,28,28,https://www.shopify.com/,976,0,629
1695752689382,2136,HTTP Request,200,OK,ThreadGroup 1-30,text,true,,401849,119,31,31,https://www.shopify.com/,510,0,0
1695752687627,3994,HTTP Request,200,OK,ThreadGroup 1-36,text,true,,401841,119,32,32,https://www.shopify.com/,1341,0,518
1695752689395,2486,HTTP Request,200,OK,ThreadGroup 1-28,text,true,,401848,119,33,33,https://www.shopify.com/,880,0,0
1695752686436,5483,HTTP Request,200,OK,ThreadGroup 1-32,text,true,,401841,119,33,33,https://www.shopify.com/,1273,0,564
1695752687326,4731,HTTP Request,200,OK,ThreadGroup 1-35,text,true,,401836,119,33,33,https://www.shopify.com/,929,0,590
1695752686868,5886,HTTP Request,200,OK,ThreadGroup 1-17,text,true,,401849,119,33,33,https://www.shopify.com/,1149,0,0
1695752683426,9648,HTTP Request,200,OK,ThreadGroup 1-22,text,true,,401841,119,33,33,https://www.shopify.com/,1394,0,612
1695752690481,2655,HTTP Request,200,OK,ThreadGroup 1-29,text,true,,401848,119,33,33,https://www.shopify.com/,799,0,0
1695752689425,3828,HTTP Request,200,OK,ThreadGroup 1-42,text,true,,401836,119,32,32,https://www.shopify.com/,1128,0,799
1695752687924,5348,HTTP Request,200,OK,ThreadGroup 1-37,text,true,,401841,119,32,32,https://www.shopify.com/,2312,0,1939
1695752690473,2799,HTTP Request,200,OK,ThreadGroup 1-31,text,true,,401849,119,32,32,https://www.shopify.com/,808,0,0
1695752690497,2838,HTTP Request,200,OK,ThreadGroup 1-20,text,true,,401849,119,32,32,https://www.shopify.com/,801,0,0
1695752690023,3513,HTTP Request,200,OK,ThreadGroup 1-26,text,true,,401841,119,31,31,https://www.shopify.com/,425,0,0
1695752690270,3266,HTTP Request,200,OK,ThreadGroup 1-21,text,true,,401849,119,31,31,https://www.shopify.com/,1198,0,0
1695752686726,7491,HTTP Request,200,OK,ThreadGroup 1-33,text,true,,401849,119,30,30,https://www.shopify.com/,2167,0,1729
